delta.rank	pval	level	nseqs	term	name	p.adj	goDivision
-952	0.0103428690997257	3	30	GO:0008156	negative regulation of DNA replication	0.0338575643715298	BP
213	0.0103655455200951	3	657	GO:0016477	cell migration	0.0338575643715298	BP
738	0.010368879088781	4	50	GO:0008637	apoptotic mitochondrial changes	0.0338575643715298	BP
880	0.0104382490909294	3	35	GO:0006626	protein targeting to mitochondrion	0.0340344657404394	BP
557	0.0104605079240313	7	88	GO:0007173;GO:0038127	ERBB signaling pathway	0.0340574676596368	BP
-573	0.0104967079449054	2	83	GO:0042133	neurotransmitter metabolic process	0.0340785052007018	BP
-776	0.0104973966912876	2	45	GO:0034605	cellular response to heat	0.0340785052007018	BP
407	0.0106683064516095	2	166	GO:0002252	immune effector process	0.0345832220717877	BP
-578	0.0108390601973555	2	81	GO:0050905	neuromuscular process	0.0350859752053126	BP
-505	0.011014644456246	3	106	GO:0043414	macromolecule methylation	0.0356028911717042	BP
443	0.0110548517392229	4	138	GO:0044089	positive regulation of cellular component biogenesis	0.0356813658441777	BP
-943	0.0110831447260467	5	30	GO:0002526	acute inflammatory response	0.0357212146566109	BP
-824	0.011426737635839	2	39	GO:0006282	regulation of DNA repair	0.0367757073337347	BP
486	0.0114492273058803	2	113	GO:0050863	regulation of T cell activation	0.0367952211838908	BP
743	0.0114805915785188	5	48	GO:0010675;GO:0006109	regulation of cellular carbohydrate metabolic process	0.0368431592204615	BP
407	0.011683261421244	3	162	GO:0046649	lymphocyte activation	0.0374399221510537	BP
406	0.0117262775853046	2	162	GO:0050808	synapse organization	0.0375240882729747	BP
366	0.0117897208381751	2	201	GO:0048469	cell maturation	0.0376732876997321	BP
818	0.012025330685752	4	39	GO:0042067	establishment of ommatidial planar polarity	0.0383714255499779	BP
567	0.0123838735976991	2	81	GO:0001764	neuron migration	0.0394592842942333	BP
-719	0.0124848371142368	7	50	GO:0009064	glutamine family amino acid metabolic process	0.0397244817271171	BP
608	0.0125783142293711	4	70	GO:2000377	regulation of reactive oxygen species metabolic process	0.0399651402465124	BP
266	0.0126191496629519	2	383	GO:0051640	organelle localization	0.0400380952478927	BP
522	0.0127720433829057	2	95	GO:0009615	response to virus	0.0404658800250478	BP
570	0.0129825444558002	4	79	GO:0048167	regulation of synaptic plasticity	0.0410747169223057	BP
439	0.0130786310502369	4	134	GO:0008360	regulation of cell shape	0.0412373808787951	BP
531	0.0130806929878264	3	91	GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	0.0412373808787951	BP
231	0.0130891865200104	2	512	GO:0051093	negative regulation of developmental process	0.0412373808787951	BP
565	0.0131763425666708	2	80	GO:0030278	regulation of ossification	0.0414351533167598	BP
315	0.0131954499573375	6	264	GO:0030162	regulation of proteolysis	0.0414351533167598	BP
-473	0.0132074551197172	2	115	GO:0035108	limb morphogenesis	0.0414351533167598	BP
433	0.0134424391824098	2	137	GO:0007431	salivary gland development	0.042113375900137	BP
-454	0.0135264621916804	2	124	GO:0060173	limb development	0.0423174236164303	BP
463	0.0136111345309109	2	119	GO:0044773	mitotic DNA damage checkpoint	0.0425229307520787	BP
-623	0.0137435704534349	5	65	GO:0008643	carbohydrate transport	0.0428768771806326	BP
320	0.0137751410024983	3	253	GO:0032870	cellular response to hormone stimulus	0.0429155992289238	BP
526	0.014030106528795	3	91	GO:1901342	regulation of vasculature development	0.0436048822667824	BP
912	0.0140353214796206	6	30	GO:2000379	positive regulation of reactive oxygen species metabolic process	0.0436048822667824	BP
621	0.0140552283397849	2	65	GO:0002833	positive regulation of response to biotic stimulus	0.0436062485888063	BP
476	0.0142219749335889	3	111	GO:0007030	Golgi organization	0.0440599235807304	BP
202	0.0142407967287718	4	670	GO:0034655	nucleobase-containing compound catabolic process	0.0440599235807304	BP
304	0.0142791351512735	4	279	GO:0055082	cellular chemical homeostasis	0.0441176037777278	BP
797	0.0143908450804563	5	39	GO:2000060;GO:1903052;GO:1903364	positive regulation of proteolysis involved in cellular protein catabolic process	0.0444015054823996	BP
-543	0.0146829398670408	3	84	GO:0006997	nucleus organization	0.0452404199479661	BP
-774	0.0148069268074583	3	41	GO:0035214	eye-antennal disc development	0.0455597747921794	BP
-552	0.0148733862085466	3	81	GO:0044242	cellular lipid catabolic process	0.0457014884871665	BP
423	0.0150229827532083	3	139	GO:0003001;GO:0023061	signal release	0.0460979196810775	BP
245	0.015094136592173	3	432	GO:0048878	chemical homeostasis	0.0462528946189706	BP
-526	0.0151431424907647	2	89	GO:0044106	cellular amine metabolic process	0.0463396710099903	BP
572	0.0151909776993965	2	75	GO:0001707	mesoderm formation	0.0464226330786469	BP
-326	0.0152490094837974	3	236	GO:0044770	cell cycle phase transition	0.0465364867080466	BP
194	0.0153972509191604	2	711	GO:0007267	cell-cell signaling	0.0469249551822031	BP
742	0.0155199206734032	2	44	GO:0120032;GO:0060491	regulation of plasma membrane bounded cell projection assembly	0.0470206080633485	BP
831	0.0155621267118453	2	35	GO:0032436;GO:1901800	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	0.0470206080633485	BP
-798	0.0155637972958059	3	38	GO:0042359	vitamin D metabolic process	0.0470206080633485	BP
-532	0.0155643401608518	3	86	GO:0034754	cellular hormone metabolic process	0.0470206080633485	BP
-581	0.0155678751015382	3	72	GO:0021536	diencephalon development	0.0470206080633485	BP
-555	0.0155759086066048	4	79	GO:0009411	response to UV	0.0470206080633485	BP
856	0.0155862054959387	2	33	GO:0051896	regulation of protein kinase B signaling	0.0470206080633485	BP
526	0.0155965677638696	2	88	GO:0007309	oocyte axis specification	0.0470206080633485	BP
-818	0.0157646703756831	5	36	GO:0009066	aspartate family amino acid metabolic process	0.0474635237117341	BP
405	0.0158603793927526	5	149	GO:0030111	regulation of Wnt signaling pathway	0.047687583677538	BP
319	0.0158934914229353	2	244	GO:0021700	developmental maturation	0.0477230841653821	BP
-756	0.0159926969212202	2	42	GO:0001676	long-chain fatty acid metabolic process	0.0479566815308343	BP
294	0.016156135247117	2	288	GO:2000145	regulation of cell motility	0.0483820092961793	BP
-444	0.0162254970667734	2	123	GO:0034470	ncRNA processing	0.0485248510408176	BP
-863	0.016289193493202	2	32	GO:0030901	midbrain development	0.04865039123303	BP
850	0.0163195757984765	4	33	GO:0016333	morphogenesis of follicular epithelium	0.0486762314095704	BP
585	0.0163621091137718	5	70	GO:0007413;GO:0106030	neuron projection fasciculation	0.0487381973601713	BP
849	0.0164080440793651	2	33	GO:1903725	regulation of phospholipid metabolic process	0.0488101178456545	BP
-813	0.0164734047895369	3	36	GO:0002377	immunoglobulin production	0.0489395579954412	BP
348	0.0165487808868681	5	201	GO:0051493	regulation of cytoskeleton organization	0.0490983697835557	BP
615	0.0165938011450234	2	63	GO:0043393	regulation of protein binding	0.0491668182074767	BP
583	0.016663721650479	3	70	GO:1903708	positive regulation of hemopoiesis	0.0492617378773818	BP
624	0.0167004718476302	3	61	GO:0001736;GO:0007164	establishment of tissue polarity	0.0492617378773818	BP
443	0.0167196625970354	3	122	GO:0044774	mitotic DNA integrity checkpoint	0.0492617378773818	BP
734	0.0167305306534117	5	44	GO:0002011	morphogenesis of an epithelial sheet	0.0492617378773818	BP
336	0.0167357957699498	2	215	GO:0032386	regulation of intracellular transport	0.0492617378773818	BP
844	0.0170751067503793	2	33	GO:0030279	negative regulation of ossification	0.0501945395286741	BP
438	0.0171478817765233	2	124	GO:0051047	positive regulation of secretion	0.0503424052154813	BP
666	0.0172844709195953	3	53	GO:1903828	negative regulation of cellular protein localization	0.0506769828009077	BP
-738	0.0173631621741789	2	43	GO:0044550	secondary metabolite biosynthetic process	0.0508411546015173	BP
794	0.0175211365974691	3	37	GO:0007608	sensory perception of smell	0.0512339036180537	BP
-526	0.0175430375335032	2	85	GO:0006022	aminoglycan metabolic process	0.0512339036180537	BP
-745	0.0176957447812841	7	42	GO:0001523	retinoid metabolic process	0.051612588945412	BP
586	0.0177211566549296	2	68	GO:0110053	regulation of actin filament organization	0.0516194940273632	BP
-735	0.0179105062738049	6	43	GO:0006637;GO:0035383	acyl-CoA metabolic process	0.0521032909783415	BP
553	0.0180132647400003	2	76	GO:0002702	positive regulation of production of molecular mediator of immune response	0.0523342581291838	BP
355	0.0181149439673141	3	187	GO:0010631;GO:0090132	epithelium migration	0.0525614954492015	BP
275	0.0181588863781442	3	317	GO:0051270	regulation of cellular component movement	0.0526208350414528	BP
508	0.018199980552259	3	90	GO:0007308	oocyte construction	0.052671778342455	BP
269	0.0183563199061758	2	332	GO:0051656	establishment of organelle localization	0.0530556859223662	BP
-318	0.0186127073957375	2	233	GO:0044772	mitotic cell cycle phase transition	0.0537274027918196	BP
820	0.0186730541371637	2	34	GO:0007006	mitochondrial membrane organization	0.0538322281431746	BP
-754	0.0191260528752962	2	40	GO:0009451	RNA modification	0.0550672987669197	BP
313	0.0191556922155589	2	238	GO:0051606	detection of stimulus	0.0550818364093093	BP
-436	0.0192018741425791	3	121	GO:0034504	protein localization to nucleus	0.0551438436915092	BP
-320	0.0192528683339789	3	227	GO:0006644	phospholipid metabolic process	0.0552194943253684	BP
-441	0.0196640680100213	2	117	GO:0051188	cofactor biosynthetic process	0.0563267421258922	BP
593	0.0199862688092606	2	64	GO:0042752	regulation of circadian rhythm	0.0571010576051996	BP
188	0.0200022894557375	2	701	GO:0048870	cell motility	0.0571010576051996	BP
811	0.0200108617053936	2	34	GO:0051489	regulation of filopodium assembly	0.0571010576051996	BP
-241	0.0206425689117991	2	401	GO:0005975	carbohydrate metabolic process	0.0588286951175954	BP
-795	0.0206898534983984	4	35	GO:0009124	nucleoside monophosphate biosynthetic process	0.0588885283817184	BP
-308	0.0208705268264639	3	240	GO:0051259	protein complex oligomerization	0.0593273859026385	BP
-208	0.0209257710287458	2	552	GO:0055114	oxidation-reduction process	0.0594090330854127	BP
352	0.0212074847566071	2	181	GO:0060627	regulation of vesicle-mediated transport	0.0601326150060758	BP
-393	0.0212748171418249	2	144	GO:0007605	sensory perception of sound	0.0602131160139123	BP
-684	0.0212945347498707	2	47	GO:0008645	hexose transmembrane transport	0.0602131160139123	BP
616	0.0213165183031395	2	58	GO:0033555	multicellular organismal response to stress	0.0602131160139123	BP
290	0.0215316627491834	3	269	GO:0072594	establishment of protein localization to organelle	0.0607442374788046	BP
-661	0.0216364853490084	2	50	GO:0006721	terpenoid metabolic process	0.0609232972865519	BP
778	0.0216698821672112	2	36	GO:0010906	regulation of glucose metabolic process	0.0609232972865519	BP
-481	0.0216886046449847	3	95	GO:0035725	sodium ion transmembrane transport	0.0609232972865519	BP
393	0.0217039246583341	2	143	GO:0098609	cell-cell adhesion	0.0609232972865519	BP
-712	0.0218029156192449	3	43	GO:0042078	germ-line stem cell division	0.0611245694456928	BP
473	0.0219332246474934	3	98	GO:0050906	detection of stimulus involved in sensory perception	0.061367844710432	BP
-588	0.0219444837558286	2	63	GO:1903510	mucopolysaccharide metabolic process	0.061367844710432	BP
694	0.0221994510705977	2	45	GO:0051048	negative regulation of secretion	0.0619403627861883	BP
518	0.0222045139809416	2	81	GO:0019932	second-messenger-mediated signaling	0.0619403627861883	BP
708	0.0224348274207707	3	43	GO:1902905	positive regulation of supramolecular fiber organization	0.0625049918190626	BP
463	0.0233186452247536	3	100	GO:0042742	defense response to bacterium	0.0648866649732274	BP
-779	0.0234527239888849	2	35	GO:0008345	larval locomotory behavior	0.0651787862718389	BP
358	0.0235170370790577	4	169	GO:0050865	regulation of cell activation	0.0652765341475703	BP
265	0.023588481210052	2	315	GO:0044087	regulation of cellular component biogenesis	0.0653938092951937	BP
-600	0.0236307493850165	2	59	GO:0006308	DNA catabolic process	0.0654300106581421	BP
-645	0.0237276652229583	3	51	GO:0021532	neural tube patterning	0.0656172470363291	BP
677	0.023969351599145	3	46	GO:0035088;GO:0061245	establishment or maintenance of bipolar cell polarity	0.0662038811123117	BP
823	0.0241424663545969	3	31	GO:0046887	positive regulation of hormone secretion	0.0665999071850949	BP
501	0.0243051804172721	3	84	GO:0042074	cell migration involved in gastrulation	0.0669663027486956	BP
612	0.0246335208006444	7	56	GO:0018209	peptidyl-serine modification	0.067787575667621	BP
327	0.0247191225588421	2	200	GO:0009581	detection of external stimulus	0.067939674272155	BP
361	0.0248722999117771	3	163	GO:0035272	exocrine system development	0.0682769017186038	BP
793	0.0249650277958472	2	33	GO:0045453	bone resorption	0.0684475670290058	BP
779	0.0254486173219653	5	34	GO:0030166	proteoglycan biosynthetic process	0.0696881452337436	BP
790	0.0255434696700554	6	33	GO:0060193	positive regulation of lipase activity	0.0698624811488695	BP
415	0.0256687766985666	2	121	GO:0016055	Wnt signaling pathway	0.0701195851277917	BP
381	0.0263853653339854	2	143	GO:0035148	tube formation	0.0719893037127007	BP
615	0.0264654764627532	4	54	GO:0018105	peptidyl-serine phosphorylation	0.0721200331831717	BP
588	0.0267249183278476	3	59	GO:0007616	long-term memory	0.0726517711338986	BP
632	0.026725472952827	2	51	GO:2001233	regulation of apoptotic signaling pathway	0.0726517711338986	BP
551	0.0268216713004476	3	67	GO:0009593	detection of chemical stimulus	0.0728249014703062	BP
624	0.0271048884739572	3	52	GO:0010466	negative regulation of peptidase activity	0.0735047823022568	BP
571	0.0273035797569792	4	62	GO:0050714	positive regulation of protein secretion	0.0739540733441758	BP
191	0.0275420060083711	2	602	GO:0048667	cell morphogenesis involved in neuron differentiation	0.0745097747086368	BP
-532	0.0277677360674658	8	71	GO:0031572	G2 DNA damage checkpoint	0.0750298296635988	BP
588	0.0278843127491049	3	58	GO:0010770	positive regulation of cell morphogenesis involved in differentiation	0.0752540488650542	BP
-311	0.0279895296010284	2	212	GO:0000910	cytokinesis	0.0753716546512673	BP
609	0.0280478915247271	6	54	GO:0048661	positive regulation of smooth muscle cell proliferation	0.0753716546512673	BP
802	0.0280588936332192	4	31	GO:0046580;GO:0051058	negative regulation of Ras protein signal transduction	0.0753716546512673	BP
402	0.0280624821335522	3	125	GO:1905114	cell surface receptor signaling pathway involved in cell-cell signaling	0.0753716546512673	BP
390	0.0282533441654082	6	133	GO:0030335	positive regulation of cell migration	0.0757934023119932	BP
503	0.0282985954120132	2	79	GO:0009895	negative regulation of catabolic process	0.0758239877068296	BP
631	0.0283886661728458	6	50	GO:0010951	negative regulation of endopeptidase activity	0.075974447105346	BP
578	0.0294156712183124	4	59	GO:0010810	regulation of cell-substrate adhesion	0.0785389452624681	BP
-542	0.0294170424442905	2	67	GO:0030326	embryonic limb morphogenesis	0.0785389452624681	BP
-709	0.029574364503196	2	39	GO:0006493	protein O-linked glycosylation	0.0787844398691638	BP
683	0.029579336575878	3	42	GO:0032655	regulation of interleukin-12 production	0.0787844398691638	BP
-515	0.0297821821876871	3	74	GO:0009108	coenzyme biosynthetic process	0.0792043279796922	BP
407	0.0298077002173574	3	119	GO:0033673	negative regulation of kinase activity	0.0792043279796922	BP
459	0.0301411950490557	2	93	GO:0060828	regulation of canonical Wnt signaling pathway	0.0799955887557876	BP
-672	0.0302165854007524	2	43	GO:0016101	diterpenoid metabolic process	0.0800590599203388	BP
-319	0.0302592217044056	3	195	GO:0007584	response to nutrient	0.0800590599203388	BP
270	0.0302723320323781	2	276	GO:0006909	phagocytosis	0.0800590599203388	BP
791	0.0303229670009663	2	31	GO:0010518	positive regulation of phospholipase activity	0.0800984033987789	BP
-754	0.0305288576818385	4	34	GO:0007619	courtship behavior	0.0805472805739909	BP
-802	0.0306439689576867	2	30	GO:0031497	chromatin assembly	0.0807558711355508	BP
446	0.0307204077739492	6	98	GO:0031346	positive regulation of cell projection organization	0.0808061873609789	BP
502	0.0307352105498009	2	77	GO:0006911	phagocytosis, engulfment	0.0808061873609789	BP
510	0.0315016041410112	3	74	GO:0014020	primary neural tube formation	0.0826964143369453	BP
389	0.0315280079659604	4	128	GO:0048599	oocyte development	0.0826964143369453	BP
773	0.0315956140512749	2	32	GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	0.0827768134208839	BP
-433	0.0316706804161766	2	103	GO:0006814	sodium ion transport	0.0828765468834528	BP
242	0.0319075171254234	3	340	GO:0045597	positive regulation of cell differentiation	0.0833988779007566	BP
-543	0.0330605759335457	3	64	GO:0007447	imaginal disc pattern formation	0.0862653702545762	BP
694	0.0330812290395897	6	39	GO:0042059;GO:1901185	negative regulation of ERBB signaling pathway	0.0862653702545762	BP
580	0.0331422029356117	2	56	GO:0043331	response to dsRNA	0.0863238774136863	BP
492	0.0331864624263985	2	78	GO:0035303	regulation of dephosphorylation	0.0863387640361587	BP
-365	0.0334078350177532	3	143	GO:0045017	glycerolipid biosynthetic process	0.0868138636192194	BP
385	0.0334792935480986	4	128	GO:0052548	regulation of endopeptidase activity	0.0868987457100126	BP
-304	0.0335184421768215	2	208	GO:0040029	regulation of gene expression, epigenetic	0.0868996649028705	BP
171	0.0335579034354981	2	707	GO:0051674	localization of cell	0.0869013915555095	BP
650	0.0339938339866339	7	44	GO:0008355	olfactory learning	0.0878752490764535	BP
536	0.0340124289952166	4	65	GO:0007043	cell-cell junction assembly	0.0878752490764535	BP
401	0.0345850978639521	2	116	GO:0012502	induction of programmed cell death	0.0892518654553602	BP
-578	0.0352100064241411	2	55	GO:0007140	male meiotic nuclear division	0.0907599705294316	BP
-594	0.0353201076833226	3	52	GO:0006333	chromatin assembly or disassembly	0.0909391278283249	BP
-548	0.0356882693653407	2	61	GO:0072329	monocarboxylic acid catabolic process	0.0917298776512538	BP
373	0.0357091309428095	2	133	GO:0002237	response to molecule of bacterial origin	0.0917298776512538	BP
-576	0.0357997745120528	5	55	GO:0007095	mitotic G2 DNA damage checkpoint	0.0918173757981294	BP
-473	0.0358251725212344	3	82	GO:0007033	vacuole organization	0.0918173757981294	BP
-314	0.0360713544351561	2	189	GO:0006091	generation of precursor metabolites and energy	0.0923426673539996	BP
-170	0.0363720189500545	2	695	GO:0006811	ion transport	0.0930060758540206	BP
408	0.0365509676993315	2	110	GO:0042176	regulation of protein catabolic process	0.0933570896767418	BP
-302	0.0366709476735943	2	203	GO:0046486	glycerolipid metabolic process	0.0935568596683955	BP
166	0.0370445087743735	2	726	GO:0042127	regulation of cell population proliferation	0.0943651223754054	BP
401	0.0370720123617664	2	113	GO:0006469	negative regulation of protein kinase activity	0.0943651223754054	BP
773	0.0372339954599262	4	30	GO:0043550	regulation of lipid kinase activity	0.0946071075728373	BP
396	0.0372515486068047	2	116	GO:0097479	synaptic vesicle localization	0.0946071075728373	BP
543	0.0374398883346007	2	61	GO:0007314	oocyte anterior/posterior axis specification	0.0949777461715805	BP
200	0.0379717604034291	2	473	GO:0048638	regulation of developmental growth	0.0961270165055619	BP
521	0.0379787542890278	4	66	GO:1902107	positive regulation of leukocyte differentiation	0.0961270165055619	BP
-643	0.0381678212220911	6	43	GO:0070207	protein homotrimerization	0.0964965231800046	BP
-635	0.0383368101976584	2	44	GO:0051302	regulation of cell division	0.0967124497085961	BP
628	0.0383395782773363	2	45	GO:0050866	negative regulation of cell activation	0.0967124497085961	BP
-531	0.0385558744258992	2	63	GO:0034219	carbohydrate transmembrane transport	0.0971486599707696	BP
-701	0.0386789732377784	3	36	GO:0048566	embryonic digestive tract development	0.0973493259018243	BP
-293	0.0389231112178095	2	210	GO:0048545	response to steroid hormone	0.0978064075166399	BP
648	0.0389479087075191	2	42	GO:0051865	protein autoubiquitination	0.0978064075166399	BP
468	0.0390557934442746	5	81	GO:0043279	response to alkaloid	0.0979674997930292	BP
599	0.0394053498939444	2	49	GO:0040024	dauer larval development	0.0987337625978025	BP
-698	0.0395398323437338	4	36	GO:0031100	animal organ regeneration	0.0989600273183952	BP
528	0.0397122974706498	2	63	GO:0002793	positive regulation of peptide secretion	0.0992807436766245	BP
310	0.0399563580366516	3	185	GO:0009101	glycoprotein biosynthetic process	0.0997795340045703	BP
615	0.0403296529781736	6	46	GO:0042058;GO:1901184	regulation of epidermal growth factor receptor signaling pathway	0.100523714324011	BP
563	0.0403441157041456	5	55	GO:1904018	positive regulation of vasculature development	0.100523714324011	BP
487	0.0410851555950094	3	73	GO:0042048	olfactory behavior	0.10225638725869	BP
587	0.0412909903405363	2	50	GO:0016339	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	0.102597855533991	BP
612	0.0413139578980626	2	46	GO:0072384	organelle transport along microtubule	0.102597855533991	BP
575	0.0415942554753717	2	52	GO:0090382	phagosome maturation	0.103179548466038	BP
-492	0.0419445304069757	6	71	GO:0006275	regulation of DNA replication	0.103933349681002	BP
538	0.0424341223338684	3	59	GO:0071219	cellular response to molecule of bacterial origin	0.105030313842945	BP
-414	0.0425763424372503	2	100	GO:0006869	lipid transport	0.105266012206888	BP
660	0.0427276987138186	2	39	GO:0045792	negative regulation of cell size	0.10552375426566	BP
-369	0.04280526432352	3	126	GO:1901293	nucleoside phosphate biosynthetic process	0.105598889961107	BP
386	0.0428561541197678	2	115	GO:0099003;GO:0048489;GO:0097480	vesicle-mediated transport in synapse	0.105608124563564	BP
-686	0.0429185453884265	2	36	GO:0010043	response to zinc ion	0.10562757199022	BP
-546	0.0429792778246255	3	57	GO:0044818	mitotic G2/M transition checkpoint	0.10562757199022	BP
464	0.043005511453161	2	79	GO:0010324	membrane invagination	0.10562757199022	BP
705	0.0431281413570166	2	34	GO:0034341	response to interferon-gamma	0.105812745498047	BP
-550	0.0432435615425544	5	56	GO:0048636	positive regulation of muscle organ development	0.105979844480658	BP
-340	0.0445687418821497	2	147	GO:0008654	phospholipid biosynthetic process	0.108868001854458	BP
237	0.0445690893081739	3	308	GO:0030097	hemopoiesis	0.108868001854458	BP
300	0.0446098737470371	2	190	GO:0009582	detection of abiotic stimulus	0.108868001854458	BP
690	0.0446164400457109	2	35	GO:0060281	regulation of oocyte development	0.108868001854458	BP
457	0.0449880536263846	2	80	GO:0050730	regulation of peptidyl-tyrosine phosphorylation	0.10965532113504	BP
367	0.0451678004752403	2	125	GO:0009408	response to heat	0.10997377507015	BP
606	0.0456855179796246	4	45	GO:1900424	regulation of defense response to bacterium	0.111113529070965	BP
558	0.0460683894432681	2	53	GO:0045766	positive regulation of angiogenesis	0.111923202118135	BP
657	0.0462964911451375	6	38	GO:0009187	cyclic nucleotide metabolic process	0.112355514805101	BP
-511	0.0464365591515292	4	63	GO:0006354	DNA-templated transcription, elongation	0.112493335078858	BP
457	0.0464537209589034	3	79	GO:0048332	mesoderm morphogenesis	0.112493335078858	BP
430	0.046782505653197	4	89	GO:0002700	regulation of production of molecular mediator of immune response	0.113084181439353	BP
484	0.0468089905184858	2	70	GO:0031330	negative regulation of cellular catabolic process	0.113084181439353	BP
274	0.0468533924527504	2	224	GO:0048749	compound eye development	0.113084181439353	BP
402	0.0468996448915887	2	102	GO:0030168	platelet activation	0.113084181439353	BP
513	0.0471978976089316	2	62	GO:0008358	maternal determination of anterior/posterior axis, embryo	0.113680957681728	BP
513	0.0474998642850221	2	62	GO:0045667	regulation of osteoblast differentiation	0.114285387753437	BP
-211	0.0482076460054597	2	380	GO:0045786	negative regulation of cell cycle	0.115863870227714	BP
-324	0.0484285467590735	3	156	GO:0015980	energy derivation by oxidation of organic compounds	0.116270037235075	BP
-709	0.0486204550864592	3	32	GO:0006040	amino sugar metabolic process	0.116605802348682	BP
470	0.0487199138294949	4	73	GO:0001843;GO:0060606	neural tube closure	0.116719365751945	BP
-719	0.0488393453456599	2	31	GO:1990542	mitochondrial transmembrane transport	0.116880484587904	BP
454	0.0492962728221114	3	78	GO:0099024	plasma membrane invagination	0.11784808017239	BP
717	0.0494425202429597	4	31	GO:0032680	regulation of tumor necrosis factor production	0.118071690132441	BP
-197	0.0495475026008993	2	434	GO:0006396	RNA processing	0.118196385331219	BP
-508	0.0496886743584389	2	62	GO:0010972;GO:1902750	negative regulation of G2/M transition of mitotic cell cycle	0.118407053790322	BP
195	0.0497547254744673	2	445	GO:0060548	negative regulation of cell death	0.118438453839327	BP
446	0.0503302504585782	2	80	GO:0010632	regulation of epithelial cell migration	0.119681274975812	BP
714	0.050510497007999	2	31	GO:1900274	regulation of phospholipase C activity	0.119982516752829	BP
390	0.0506303161284436	5	105	GO:1903037	regulation of leukocyte cell-cell adhesion	0.120139733186137	BP
-427	0.0507702604215057	2	87	GO:0009063	cellular amino acid catabolic process	0.120344320999125	BP
231	0.0510384988137288	2	308	GO:0051050	positive regulation of transport	0.120852259347519	BP
-598	0.0511754787887812	5	44	GO:0009112	nucleobase metabolic process	0.120919533500589	BP
335	0.0512509058142489	2	142	GO:0010721	negative regulation of cell development	0.120919533500589	BP
296	0.0512700839765763	2	183	GO:0009266	response to temperature stimulus	0.120919533500589	BP
-670	0.0512828378685534	4	35	GO:0006835	dicarboxylic acid transport	0.120919533500589	BP
-444	0.0513421010028152	3	80	GO:0030703	eggshell formation	0.120931972919354	BP
314	0.0515551481597214	2	162	GO:0007424	open tracheal system development	0.12130623096405	BP
-492	0.0517503993511325	2	65	GO:2001020	regulation of response to DNA damage stimulus	0.121637874655338	BP
199	0.052071815140605	3	419	GO:0043069	negative regulation of programmed cell death	0.122265058611064	BP
-495	0.0521707817253991	2	64	GO:0015695	organic cation transport	0.122369163418737	BP
708	0.0524016792301707	2	31	GO:0045475	locomotor rhythm	0.122782177275714	BP
-707	0.0526611428145898	2	31	GO:0032506	cytokinetic process	0.123261191122969	BP
337	0.0533641749976942	3	138	GO:0051249	regulation of lymphocyte activation	0.124776359076028	BP
567	0.0535271255281619	7	48	GO:0051495	positive regulation of cytoskeleton organization	0.125026862547531	BP
-621	0.0536656667984423	5	40	GO:0048844	artery morphogenesis	0.125219889196365	BP
572	0.0538429522669253	2	47	GO:0019751	polyol metabolic process	0.125502823182011	BP
218	0.0542848005389678	2	336	GO:0048534	hematopoietic or lymphoid organ development	0.126401198760175	BP
-462	0.0544205511674689	7	72	GO:0010389;GO:1902749	regulation of cell cycle G2/M phase transition	0.12658570572703	BP
207	0.0544953174350313	4	376	GO:0002064	epithelial cell development	0.126628123500488	BP
-350	0.0559890650571596	4	125	GO:0009165	nucleotide biosynthetic process	0.129964254640453	BP
-343	0.0561140356440267	2	130	GO:0046474	glycerophospholipid biosynthetic process	0.130119502942671	BP
310	0.0571352619475513	2	158	GO:0002694	regulation of leukocyte activation	0.132301401949543	BP
663	0.0572337446108813	2	34	GO:0070252	actin-mediated cell contraction	0.132301401949543	BP
348	0.0572818113535771	2	125	GO:0016197	endosomal transport	0.132301401949543	BP
604	0.0572912320942218	2	41	GO:0045444	fat cell differentiation	0.132301401949543	BP
384	0.0575271502555558	3	102	GO:0001841	neural tube formation	0.132695792690026	BP
-552	0.0576296793473183	2	49	GO:0061640	cytoskeleton-dependent cytokinesis	0.132695792690026	BP
-536	0.0576535346428315	5	52	GO:0031646	positive regulation of neurological system process	0.132695792690026	BP
652	0.0576989741428951	2	35	GO:0008333	endosome to lysosome transport	0.132695792690026	BP
154	0.0577629871260384	2	695	GO:0044270	cellular nitrogen compound catabolic process	0.132706760166488	BP
-332	0.0579989652221165	2	137	GO:0017038	protein import	0.1331123791983	BP
459	0.0612229743964226	2	69	GO:0071229	cellular response to acid chemical	0.140228272182123	BP
-574	0.0612246652652304	2	44	GO:0070206	protein trimerization	0.140228272182123	BP
-538	0.0615022723933424	2	50	GO:0009062	fatty acid catabolic process	0.140720214669139	BP
609	0.0616801436318087	5	39	GO:0008088	axo-dendritic transport	0.140983185444134	BP
331	0.0625445229227631	3	133	GO:0052547	regulation of peptidase activity	0.14267861961414	BP
382	0.0625492877058416	3	99	GO:0071559	response to transforming growth factor beta	0.14267861961414	BP
303	0.0636092702716368	2	158	GO:0006887	exocytosis	0.144948896651543	BP
-688	0.0638706569103466	4	30	GO:0043038	amino acid activation	0.145396617356887	BP
561	0.0643216465683223	4	45	GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	0.146274607424408	BP
